,A4,A4,A4,A4,APOE,APOE,APOE,APOE,TAU,TAU,TAU,TAU
,CAUD,HIPP,IPL,SMTG,CAUD,HIPP,IPL,SMTG,CAUD,HIPP,IPL,SMTG
,R_S,R_S,R_S,R_S,R_S,R_S,R_S,R_S,R_S,R_S,R_S,R_S
PRDX1,0.0359995623153517,0.1348432055749129,0.5940474887843309,0.3916183389867601,0.0725462304409672,-0.1736933797909408,0.2922639238428712,0.2898566582777109,-0.5461210198052303,-0.077177700348432,0.2167633220264799,0.209103840682788
PA1B3,0.5559689243899769,0.4412891986062718,0.6920888499835869,0.6518218623481781,-0.2023197286355181,0.1837979094076655,0.2747565379144326,0.4358244884560673,-0.3134916292811029,0.1331010452961672,0.4082503556187766,0.2850421271473903
KS6A2,0.2760695918590655,0.1318815331010453,0.5728197833460991,0.5388992231097495,-0.1165335375861691,0.0264808362369338,0.2123864755443703,0.4428274428274428,-0.2872305503884451,0.1280487804878049,0.4776233723602144,0.2959842433526644
AL1L2,0.1206915417441733,0.3844947735191638,0.4789364263048473,0.606302658934238,-0.147827989933253,0.113588850174216,0.3478498741656636,0.3804573804573804,-0.0191487033592296,0.2189895470383275,0.5141700404858299,0.3123974176605755
PLCD3,-0.0364372469635627,0.2219512195121951,0.5968924389977022,0.4649305175620964,0.0294342925921873,-0.1844947735191638,0.2506838822628296,0.2386475544370281,-0.5181092023197287,-0.1386759581881533,0.4920669657511763,0.2467447204289309
WIPF2,-0.1718869365928189,0.0228222996515679,-0.3804573804573804,-0.4699638910165225,-0.2021390374331551,0.3310104529616725,-0.3703906335485283,-0.2489331436699857,0.4371275783040488,0.1893728222996515,-0.1754021227705438,-0.0918043549622497
PBIP1,0.2771638034795929,0.3141114982578398,0.4537695590327169,0.6456942772732246,-0.1480468322573586,0.0512195121951219,0.2705985337564284,0.3347193347193347,-0.3058321479374111,0.1301393728222996,0.3229018492176387,0.2320822847138636
CMBL,0.0944304628515154,-0.0573170731707317,0.330780172885436,0.1894080315132946,0.0749534960061275,-0.1670731707317073,0.4391071233176497,0.1889703468650837,-0.1638034795929532,-0.1592334494773519,0.2835102308786519,0.3758616916511653
A4,1.0,1.0,1.0,1.0,-0.1690556953714848,0.2987804878048781,0.6010504431557063,0.525987525987526,-0.1044972097603676,0.5527874564459931,0.3270598533756428,0.1384177699967173
ICAM1,0.0727650727650727,0.3038327526132404,0.5806981070138966,0.7334500492395228,-0.0309661888609257,-0.0036585365853658,0.2966407703249808,0.3638253638253638,-0.3191815297078454,0.1263066202090592,0.3060509902615165,0.1128132180763759
IRGQ,-0.2905131852500273,-0.4358885017421604,-0.5093555093555093,-0.6395666921982711,0.1108436371594266,-0.1576655052264808,-0.4130648867490972,-0.5504978662873399,0.3765182186234818,-0.1628919860627178,-0.4100010942116204,-0.422475106685633
