,Wounding and Cellular Processes,Wounding and Cellular Processes,Wounding and Cellular Processes,Detoxification,Detoxification,Detoxification
,NC,RAD,ADD,NC,RAD,ADD
CAUD,-2.721608741163498,0,2.352030680229453,-0.2773500981126146,0,0.8320502943378437
HIPP,3.6265426772829192,0,4.409708985663444,2.4961508830135313,0,3.0508510792387598
IPL,3.211065462537823,0,4.691554789446699,0.2773500981126146,0,3.0508510792387598
SMTG,-2.451283740856789,0,4.131772516752581,-0.2773500981126146,0,3.0508510792387598
